id_votant,bureau_vote,candidat_choisi
4133,Dijon,Alain Broglio
717,Toulouse,Éva Sionfiscal
2001,Grenoble,Alain Broglio
1244,Marseille,Jean Ticipe
1456,Villeurbanne,Jean Némarre
2489,Le Havre,Alain Broglio
3295,Montpellier,Jean Némarre
3619,Bordeaux,Marie Rouanna
1978,Brest,Jean Ticipe
402,Strasbourg,Jean Ticipe
1698,Bordeaux,Jean Némarre
486,Strasbourg,Alain Broglio
3022,Lille,Luc Ratif
4485,Le Havre,Jean Némarre
217,Rennes,Marie Rouanna
3033,Lyon,Jean Némarre
1087,Bordeaux,Éva Sionfiscal
538,Lille,Marie Rouanna
2346,Brest,Éva Sionfiscal
3458,Nîmes,Éva Sionfiscal
4792,Angers,Marie Rouanna
2657,Marseille,Marie Rouanna
620,Marseille,Jean Némarre
2503,Clermont-Ferrand,Jean Ticipe
4275,Marseille,Jean Ticipe
2140,Limoges,Jean Ticipe
426,Nantes,Alain Broglio
994,Saint-Étienne,Luc Ratif
3030,Lille,Jean Némarre
2398,Toulon,Éva Sionfiscal
1114,Nice,Éva Sionfiscal
157,Le Havre,Jean Ticipe
3865,Reims,Luc Ratif
2145,Lyon,Jean Némarre
4481,Nîmes,Alain Broglio
2320,Nantes,Alain Broglio
2713,Angers,Jean Némarre
4139,Bordeaux,Jean Ticipe
4476,Marseille,Marie Rouanna
3160,Nîmes,Alain Broglio
2501,Strasbourg,Alain Broglio
4801,Dijon,Luc Ratif
2390,Paris,Éva Sionfiscal
1063,Limoges,Éva Sionfiscal
4238,Montpellier,Éva Sionfiscal
3696,Marseille,Jean Némarre
1550,Montpellier,Luc Ratif
3745,Aix-en-Provence,Alain Broglio
1147,Aix-en-Provence,Luc Ratif
4962,Saint-Étienne,Luc Ratif
742,Lille,Marie Rouanna
3317,Le Havre,Marie Rouanna
399,Nice,Jean Némarre
1009,Aix-en-Provence,Éva Sionfiscal
4600,Lille,Alain Broglio
1312,Tours,Luc Ratif
4305,Bordeaux,Alain Broglio
3209,Aix-en-Provence,Marie Rouanna
1601,Reims,Marie Rouanna
3563,Grenoble,Éva Sionfiscal
2699,Toulon,Marie Rouanna
461,Saint-Étienne,Alain Broglio
3880,Villeurbanne,Jean Némarre
2737,Dijon,Marie Rouanna
146,Grenoble,Marie Rouanna
4360,Montpellier,Alain Broglio
237,Lille,Alain Broglio
4546,Grenoble,Marie Rouanna
1017,Bordeaux,Marie Rouanna
4026,Strasbourg,Marie Rouanna
1731,Dijon,Jean Ticipe
1905,Clermont-Ferrand,Luc Ratif
4237,Nantes,Éva Sionfiscal
3938,Paris,Marie Rouanna
458,Bordeaux,Marie Rouanna
953,Brest,Alain Broglio
2697,Toulouse,Éva Sionfiscal
4222,Villeurbanne,Alain Broglio
584,Grenoble,Éva Sionfiscal
2053,Montpellier,Marie Rouanna
4731,Bordeaux,Luc Ratif
1294,Tours,Alain Broglio
2500,Nîmes,Alain Broglio
2094,Grenoble,Jean Ticipe
3151,Nantes,Luc Ratif
539,Nice,Luc Ratif
4800,Nantes,Alain Broglio
937,Paris,Jean Ticipe
713,Montpellier,Jean Ticipe
4091,Toulon,Jean Némarre
3145,Le Havre,Jean Ticipe
421,Montpellier,Jean Némarre
3322,Lyon,Jean Némarre
1249,Dijon,Luc Ratif
2574,Aix-en-Provence,Éva Sionfiscal
165,Le Havre,Alain Broglio
1599,Reims,Luc Ratif
3044,Nîmes,Jean Némarre
3083,Villeurbanne,Marie Rouanna
3333,Nice,Jean Némarre
4457,Tours,Marie Rouanna
2580,Saint-Étienne,Marie Rouanna
3275,Lille,Éva Sionfiscal
110,Limoges,Alain Broglio
3633,Limoges,Jean Ticipe
3166,Grenoble,Jean Ticipe
4574,Nîmes,Marie Rouanna
3197,Dijon,Jean Ticipe
2554,Nantes,Jean Ticipe
2817,Dijon,Luc Ratif
3120,Bordeaux,Jean Ticipe
110,Villeurbanne,Éva Sionfiscal
1252,Grenoble,Luc Ratif
3162,Limoges,Jean Némarre
925,Lyon,Jean Némarre
4164,Montpellier,Jean Némarre
190,Lyon,Jean Ticipe
395,Marseille,Éva Sionfiscal
2272,Saint-Étienne,Jean Némarre
3672,Bordeaux,Jean Némarre
3044,Tours,Éva Sionfiscal
746,Rennes,Luc Ratif
3955,Montpellier,Jean Némarre
2046,Paris,Marie Rouanna
722,Le Havre,Jean Némarre
2042,Rennes,Jean Némarre
2725,Nice,Luc Ratif
4529,Saint-Étienne,Jean Ticipe
2355,Montpellier,Alain Broglio
248,Nantes,Alain Broglio
3372,Brest,Éva Sionfiscal
4188,Reims,Jean Némarre
1042,Reims,Alain Broglio
249,Marseille,Jean Ticipe
3570,Saint-Étienne,Jean Ticipe
4905,Clermont-Ferrand,Jean Némarre
1261,Aix-en-Provence,Marie Rouanna
1245,Toulouse,Jean Ticipe
1654,Tours,Jean Némarre
974,Lille,Luc Ratif
930,Paris,Jean Némarre
418,Limoges,Éva Sionfiscal
1404,Brest,Jean Ticipe
580,Bordeaux,Alain Broglio
365,Lille,Jean Ticipe
1854,Nantes,Éva Sionfiscal
4513,Grenoble,Alain Broglio
2557,Angers,Luc Ratif
4888,Lyon,Éva Sionfiscal
206,Dijon,Alain Broglio
1124,Limoges,Marie Rouanna
2006,Angers,Luc Ratif
1047,Nice,Jean Némarre
4821,Brest,Luc Ratif
1132,Montpellier,Luc Ratif
3355,Angers,Jean Ticipe
3053,Villeurbanne,Marie Rouanna
3903,Tours,Alain Broglio
3743,Clermont-Ferrand,Alain Broglio
4570,Clermont-Ferrand,Jean Ticipe
2343,Aix-en-Provence,Luc Ratif
205,Clermont-Ferrand,Alain Broglio
2716,Rennes,Marie Rouanna
1658,Aix-en-Provence,Marie Rouanna
553,Tours,Alain Broglio
3173,Grenoble,Éva Sionfiscal
4134,Tours,Jean Némarre
2606,Villeurbanne,Alain Broglio
3636,Saint-Étienne,Jean Némarre
1177,Saint-Étienne,Luc Ratif
1443,Grenoble,Luc Ratif
1365,Bordeaux,Alain Broglio
3080,Aix-en-Provence,Luc Ratif
4730,Angers,Marie Rouanna
1664,Limoges,Marie Rouanna
1876,Reims,Luc Ratif
1508,Angers,Éva Sionfiscal
2831,Villeurbanne,Luc Ratif
4213,Montpellier,Luc Ratif
1744,Aix-en-Provence,Jean Némarre
4464,Limoges,Éva Sionfiscal
2750,Saint-Étienne,Jean Ticipe
3218,Brest,Marie Rouanna
3993,Brest,Luc Ratif
3256,Brest,Marie Rouanna
4842,Dijon,Luc Ratif
2669,Limoges,Alain Broglio
3343,Reims,Éva Sionfiscal
1933,Lyon,Jean Ticipe
3599,Limoges,Marie Rouanna
4638,Nîmes,Éva Sionfiscal
4312,Brest,Jean Némarre
693,Paris,Alain Broglio
4529,Nantes,Jean Némarre
4178,Toulon,Jean Ticipe
4999,Toulouse,Luc Ratif
1754,Nice,Éva Sionfiscal
3609,Saint-Étienne,Jean Ticipe
974,Villeurbanne,Jean Némarre
3978,Dijon,Jean Némarre
280,Dijon,Éva Sionfiscal
2122,Nîmes,Éva Sionfiscal
878,Strasbourg,Alain Broglio
1227,Grenoble,Luc Ratif
3783,Aix-en-Provence,Marie Rouanna
3106,Toulouse,Luc Ratif
2871,Nantes,Jean Némarre
4665,Toulon,Éva Sionfiscal
591,Brest,Alain Broglio
3809,Tours,Marie Rouanna
3601,Limoges,Marie Rouanna
3571,Strasbourg,Marie Rouanna
1908,Paris,Éva Sionfiscal
1651,Toulon,Jean Ticipe
2090,Clermont-Ferrand,Marie Rouanna
3429,Tours,Jean Ticipe
4057,Marseille,Marie Rouanna
957,Aix-en-Provence,Alain Broglio
2122,Toulon,Alain Broglio
3183,Bordeaux,Marie Rouanna
1280,Toulouse,Jean Némarre
2526,Lille,Luc Ratif
2794,Strasbourg,Jean Némarre
2515,Toulon,Éva Sionfiscal
677,Toulouse,Luc Ratif
797,Reims,Éva Sionfiscal
359,Lille,Jean Ticipe
1516,Bordeaux,Marie Rouanna
3446,Nantes,Jean Némarre
3615,Grenoble,Jean Ticipe
677,Nice,Alain Broglio
1014,Nice,Jean Ticipe
2992,Lyon,Marie Rouanna
3057,Tours,Alain Broglio
3027,Strasbourg,Luc Ratif
2044,Reims,Luc Ratif
2968,Aix-en-Provence,Luc Ratif
2603,Lille,Jean Ticipe
4484,Strasbourg,Luc Ratif
2327,Tours,Jean Némarre
2679,Nice,Jean Ticipe
1985,Angers,Marie Rouanna
466,Lyon,Jean Ticipe
2529,Brest,Alain Broglio
2894,Bordeaux,Éva Sionfiscal
1406,Aix-en-Provence,Marie Rouanna
2419,Nîmes,Éva Sionfiscal
2861,Paris,Jean Némarre
3972,Saint-Étienne,Luc Ratif
4077,Clermont-Ferrand,Marie Rouanna
232,Toulouse,Luc Ratif
1216,Marseille,Jean Némarre
4156,Tours,Marie Rouanna
715,Grenoble,Jean Ticipe
2837,Bordeaux,Jean Némarre
3327,Nice,Jean Ticipe
4349,Villeurbanne,Alain Broglio
1396,Montpellier,Éva Sionfiscal
3903,Grenoble,Jean Némarre
2332,Bordeaux,Jean Ticipe
2217,Montpellier,Jean Némarre
3650,Aix-en-Provence,Marie Rouanna
1803,Le Havre,Éva Sionfiscal
3223,Reims,Jean Némarre
118,Rennes,Jean Némarre
486,Tours,Luc Ratif
4507,Marseille,Alain Broglio
2918,Saint-Étienne,Alain Broglio
407,Montpellier,Jean Némarre
2186,Le Havre,Marie Rouanna
209,Tours,Éva Sionfiscal
2857,Reims,Alain Broglio
807,Villeurbanne,Alain Broglio
4558,Nîmes,Jean Némarre
2363,Marseille,Jean Ticipe
651,Limoges,Jean Ticipe
1667,Lyon,Marie Rouanna
4442,Saint-Étienne,Luc Ratif
4356,Paris,Jean Némarre
1472,Toulon,Luc Ratif
107,Tours,Jean Ticipe
3429,Tours,Luc Ratif
1303,Marseille,Jean Ticipe
4635,Nantes,Éva Sionfiscal
3541,Nice,Alain Broglio
1695,Toulouse,Marie Rouanna
4249,Limoges,Luc Ratif
1405,Lille,Marie Rouanna
1671,Limoges,Jean Némarre
1257,Nîmes,Jean Némarre
1643,Marseille,Éva Sionfiscal
3198,Bordeaux,Jean Ticipe
1682,Angers,Alain Broglio
4184,Saint-Étienne,Alain Broglio
3445,Marseille,Éva Sionfiscal
3143,Nice,Luc Ratif
1186,Clermont-Ferrand,Luc Ratif
1831,Nantes,Éva Sionfiscal
3842,Strasbourg,Marie Rouanna
3582,Villeurbanne,Éva Sionfiscal
2493,Rennes,Alain Broglio
3461,Dijon,Luc Ratif
3314,Clermont-Ferrand,Marie Rouanna
2167,Nîmes,Alain Broglio
793,Tours,Jean Ticipe
783,Nice,Jean Ticipe
128,Reims,Luc Ratif
2042,Toulon,Marie Rouanna
4686,Dijon,Alain Broglio
2627,Rennes,Éva Sionfiscal
1569,Paris,Jean Ticipe
3569,Toulouse,Alain Broglio
2101,Le Havre,Marie Rouanna
1478,Nîmes,Jean Ticipe
1089,Rennes,Marie Rouanna
1548,Tours,Alain Broglio
2594,Bordeaux,Jean Ticipe
475,Clermont-Ferrand,Alain Broglio
4083,Villeurbanne,Jean Némarre
718,Paris,Luc Ratif
2236,Limoges,Marie Rouanna
2266,Bordeaux,Marie Rouanna
2445,Paris,Jean Ticipe
4928,Grenoble,Luc Ratif
3902,Bordeaux,Jean Ticipe
3209,Lille,Marie Rouanna
2869,Toulon,Jean Ticipe
2885,Toulouse,Alain Broglio
2999,Strasbourg,Jean Némarre
4497,Toulon,Jean Némarre
4600,Angers,Jean Némarre
3089,Nice,Alain Broglio
1425,Lille,Jean Ticipe
4304,Rennes,Alain Broglio
3291,Marseille,Marie Rouanna
2774,Limoges,Marie Rouanna
3328,Aix-en-Provence,Alain Broglio
2487,Angers,Alain Broglio
3717,Grenoble,Éva Sionfiscal
3150,Limoges,Jean Némarre
3362,Paris,Marie Rouanna
1775,Le Havre,Éva Sionfiscal
3422,Angers,Alain Broglio
3299,Strasbourg,Jean Némarre
4278,Villeurbanne,Jean Ticipe
4055,Angers,Jean Némarre
1980,Nantes,Luc Ratif
1086,Strasbourg,Luc Ratif
3335,Nice,Jean Ticipe
3080,Strasbourg,Marie Rouanna
3539,Angers,Marie Rouanna
799,Reims,Éva Sionfiscal
4629,Bordeaux,Luc Ratif
4155,Le Havre,Luc Ratif
3452,Le Havre,Alain Broglio
860,Nîmes,Luc Ratif
4973,Strasbourg,Jean Ticipe
899,Clermont-Ferrand,Luc Ratif
4017,Le Havre,Éva Sionfiscal
456,Clermont-Ferrand,Éva Sionfiscal
3027,Paris,Jean Ticipe
3319,Strasbourg,Éva Sionfiscal
4051,Lille,Marie Rouanna
4297,Nîmes,Jean Némarre
3371,Montpellier,Jean Ticipe
4100,Toulouse,Luc Ratif
2207,Brest,Alain Broglio
3114,Aix-en-Provence,Éva Sionfiscal
3637,Le Havre,Éva Sionfiscal
4442,Angers,Jean Ticipe
422,Nîmes,Alain Broglio
4114,Aix-en-Provence,Alain Broglio
2454,Limoges,Jean Ticipe
2150,Bordeaux,Jean Némarre
3163,Marseille,Éva Sionfiscal
3202,Nice,Jean Némarre
1337,Dijon,Luc Ratif
4633,Grenoble,Luc Ratif
653,Villeurbanne,Éva Sionfiscal
1780,Grenoble,Marie Rouanna
406,Grenoble,Marie Rouanna
2089,Reims,Éva Sionfiscal
186,Villeurbanne,Jean Ticipe
555,Dijon,Marie Rouanna
2660,Rennes,Marie Rouanna
151,Nantes,Éva Sionfiscal
1105,Saint-Étienne,Alain Broglio
2628,Aix-en-Provence,Luc Ratif
3499,Rennes,Marie Rouanna
2906,Rennes,Jean Ticipe
2176,Grenoble,Alain Broglio
2442,Clermont-Ferrand,Marie Rouanna
3662,Saint-Étienne,Jean Némarre
2664,Toulouse,Éva Sionfiscal
257,Saint-Étienne,Marie Rouanna
509,Villeurbanne,Éva Sionfiscal
775,Bordeaux,Jean Ticipe
2456,Limoges,Marie Rouanna
2228,Toulouse,Alain Broglio
428,Grenoble,Alain Broglio
3353,Paris,Marie Rouanna
1835,Tours,Luc Ratif
3189,Marseille,Jean Némarre
2716,Nice,Jean Némarre
2162,Nantes,Jean Ticipe
4788,Paris,Alain Broglio
2050,Angers,Éva Sionfiscal
348,Grenoble,Marie Rouanna
3010,Marseille,Jean Némarre
3509,Rennes,Jean Némarre
3422,Limoges,Jean Némarre
2904,Montpellier,Marie Rouanna
440,Nantes,Marie Rouanna
4691,Reims,Jean Némarre
3079,Bordeaux,Éva Sionfiscal
470,Villeurbanne,Alain Broglio
2474,Angers,Éva Sionfiscal
350,Villeurbanne,Marie Rouanna
1404,Montpellier,Jean Némarre
953,Clermont-Ferrand,Luc Ratif
2011,Saint-Étienne,Jean Ticipe
3671,Clermont-Ferrand,Jean Ticipe
2390,Nîmes,Marie Rouanna
4027,Aix-en-Provence,Éva Sionfiscal
2843,Lyon,Éva Sionfiscal
3455,Tours,Éva Sionfiscal
827,Rennes,Jean Némarre
4797,Saint-Étienne,Jean Némarre
2158,Brest,Alain Broglio
4604,Clermont-Ferrand,Jean Ticipe
806,Limoges,Marie Rouanna
3198,Angers,Luc Ratif
174,Montpellier,Éva Sionfiscal
2015,Le Havre,Luc Ratif
2261,Aix-en-Provence,Éva Sionfiscal
4918,Paris,Jean Némarre
668,Villeurbanne,Éva Sionfiscal
926,Le Havre,Jean Némarre
1126,Brest,Jean Némarre
2537,Aix-en-Provence,Luc Ratif
4506,Saint-Étienne,Luc Ratif
1061,Nantes,Marie Rouanna
4442,Limoges,Alain Broglio
1732,Bordeaux,Jean Ticipe
2707,Villeurbanne,Jean Ticipe
3137,Rennes,Éva Sionfiscal
2099,Toulouse,Marie Rouanna
2755,Toulon,Marie Rouanna
1443,Villeurbanne,Marie Rouanna
980,Clermont-Ferrand,Jean Némarre
2464,Brest,Jean Ticipe
1116,Aix-en-Provence,Alain Broglio
3647,Villeurbanne,Jean Ticipe
4901,Montpellier,Marie Rouanna
223,Aix-en-Provence,Marie Rouanna
844,Rennes,Jean Ticipe
851,Saint-Étienne,Jean Némarre
4609,Paris,Marie Rouanna
198,Aix-en-Provence,Marie Rouanna
4253,Saint-Étienne,Alain Broglio
2115,Limoges,Jean Ticipe
459,Aix-en-Provence,Jean Ticipe
3797,Paris,Éva Sionfiscal
3289,Toulouse,Marie Rouanna
322,Montpellier,Jean Némarre
2551,Toulouse,Alain Broglio
1684,Nantes,Jean Némarre
4671,Lyon,Jean Némarre
2355,Rennes,Alain Broglio
796,Toulon,Luc Ratif
2512,Nantes,Marie Rouanna
4010,Rennes,Luc Ratif
3730,Aix-en-Provence,Alain Broglio
4251,Rennes,Éva Sionfiscal
3106,Le Havre,Jean Ticipe
549,Villeurbanne,Jean Némarre
678,Nantes,Éva Sionfiscal
2158,Limoges,Jean Ticipe
2122,Grenoble,Alain Broglio
3828,Lille,Alain Broglio
1133,Grenoble,Jean Némarre
2722,Villeurbanne,Éva Sionfiscal
914,Marseille,Luc Ratif
4394,Strasbourg,Marie Rouanna
3025,Marseille,Alain Broglio
1557,Marseille,Alain Broglio
3620,Dijon,Alain Broglio
574,Grenoble,Luc Ratif
332,Toulon,Jean Némarre
3805,Saint-Étienne,Jean Némarre
1424,Le Havre,Éva Sionfiscal
1221,Grenoble,Alain Broglio
3797,Aix-en-Provence,Éva Sionfiscal
1666,Brest,Éva Sionfiscal
1576,Nice,Éva Sionfiscal
1582,Toulouse,Jean Ticipe
3674,Brest,Jean Ticipe
2874,Reims,Jean Ticipe
1200,Bordeaux,Alain Broglio
1429,Nice,Alain Broglio
4073,Dijon,Alain Broglio
1513,Strasbourg,Jean Némarre
4158,Limoges,Jean Némarre
4267,Paris,Marie Rouanna
2930,Le Havre,Jean Némarre
559,Villeurbanne,Éva Sionfiscal
332,Montpellier,Alain Broglio
119,Angers,Luc Ratif
3120,Montpellier,Jean Némarre
1881,Angers,Éva Sionfiscal
4998,Aix-en-Provence,Luc Ratif
3434,Brest,Marie Rouanna
3548,Aix-en-Provence,Jean Némarre
1114,Nice,Jean Ticipe
3967,Bordeaux,Éva Sionfiscal
3483,Tours,Éva Sionfiscal
1926,Grenoble,Marie Rouanna
1461,Nîmes,Alain Broglio
1304,Montpellier,Jean Ticipe
2781,Grenoble,Alain Broglio
4292,Brest,Jean Ticipe
4976,Clermont-Ferrand,Jean Némarre
796,Rennes,Luc Ratif
3889,Toulouse,Marie Rouanna
4837,Nice,Jean Némarre
1220,Rennes,Marie Rouanna
3013,Saint-Étienne,Alain Broglio
915,Lyon,Jean Némarre
3229,Aix-en-Provence,Luc Ratif
3139,Reims,Marie Rouanna
2606,Nantes,Alain Broglio
2242,Dijon,Marie Rouanna
1366,Saint-Étienne,Luc Ratif
1814,Nice,Luc Ratif
2509,Marseille,Marie Rouanna
3989,Brest,Jean Némarre
1997,Bordeaux,Jean Ticipe
1560,Montpellier,Jean Ticipe
4574,Reims,Jean Némarre
1721,Toulouse,Jean Ticipe
4200,Villeurbanne,Alain Broglio
1050,Paris,Marie Rouanna
3437,Reims,Alain Broglio
3146,Toulouse,Luc Ratif
3629,Limoges,Éva Sionfiscal
1225,Tours,Jean Némarre
156,Marseille,Jean Ticipe
3138,Montpellier,Luc Ratif
957,Nîmes,Jean Ticipe
126,Paris,Éva Sionfiscal
415,Nice,Marie Rouanna
465,Nantes,Éva Sionfiscal
1171,Paris,Alain Broglio
2270,Strasbourg,Jean Némarre
4131,Lille,Éva Sionfiscal
4705,Toulon,Jean Némarre
911,Saint-Étienne,Jean Némarre
3828,Saint-Étienne,Jean Ticipe
1436,Villeurbanne,Marie Rouanna
2086,Montpellier,Éva Sionfiscal
109,Toulouse,Luc Ratif
349,Aix-en-Provence,Alain Broglio
2333,Reims,Marie Rouanna
1731,Limoges,Jean Ticipe
1759,Angers,Marie Rouanna
1735,Dijon,Luc Ratif
2092,Nice,Luc Ratif
3265,Marseille,Éva Sionfiscal
4109,Paris,Alain Broglio
4649,Grenoble,Alain Broglio
1186,Marseille,Jean Némarre
2375,Le Havre,Alain Broglio
2720,Nice,Luc Ratif
3056,Clermont-Ferrand,Jean Ticipe
3707,Dijon,Éva Sionfiscal
1637,Saint-Étienne,Luc Ratif
2040,Nantes,Jean Némarre
4525,Aix-en-Provence,Jean Némarre
3299,Limoges,Luc Ratif
4450,Le Havre,Jean Némarre
3074,Angers,Éva Sionfiscal
3805,Saint-Étienne,Marie Rouanna
3906,Reims,Alain Broglio
1859,Nice,Jean Némarre
3294,Lyon,Marie Rouanna
3191,Grenoble,Marie Rouanna
2294,Lyon,Éva Sionfiscal
3891,Bordeaux,Jean Ticipe
1553,Toulouse,Jean Némarre
400,Limoges,Marie Rouanna
1092,Nice,Marie Rouanna
421,Toulouse,Alain Broglio
3755,Nîmes,Jean Ticipe
1513,Saint-Étienne,Jean Ticipe
1611,Aix-en-Provence,Jean Némarre
4216,Tours,Luc Ratif
941,Nîmes,Jean Némarre
1436,Tours,Jean Némarre
870,Rennes,Alain Broglio
968,Nice,Alain Broglio
4501,Lille,Jean Ticipe
1041,Rennes,Marie Rouanna
1442,Brest,Jean Némarre
2528,Limoges,Marie Rouanna
3623,Angers,Alain Broglio
2661,Tours,Marie Rouanna
3953,Marseille,Jean Némarre
661,Angers,Jean Ticipe
757,Aix-en-Provence,Luc Ratif
298,Montpellier,Jean Ticipe
3112,Tours,Alain Broglio
610,Brest,Jean Ticipe
4671,Saint-Étienne,Marie Rouanna
1853,Angers,Marie Rouanna
2314,Montpellier,Jean Némarre
3130,Nantes,Alain Broglio
3223,Nantes,Luc Ratif
720,Marseille,Jean Némarre
2295,Lyon,Éva Sionfiscal
3946,Villeurbanne,Jean Némarre
1244,Paris,Marie Rouanna
4855,Grenoble,Jean Némarre
2022,Limoges,Éva Sionfiscal
3685,Lyon,Alain Broglio
1397,Tours,Éva Sionfiscal
1220,Nantes,Éva Sionfiscal
4929,Nice,Jean Némarre
684,Le Havre,Jean Némarre
3668,Toulouse,Éva Sionfiscal
569,Nîmes,Alain Broglio
1733,Limoges,Alain Broglio
1251,Brest,Jean Némarre
2449,Rennes,Jean Némarre
3837,Tours,Éva Sionfiscal
1445,Reims,Luc Ratif
2704,Toulouse,Marie Rouanna
2901,Aix-en-Provence,Alain Broglio
4641,Lyon,Éva Sionfiscal
3713,Paris,Jean Némarre
2106,Toulouse,Luc Ratif
4035,Montpellier,Marie Rouanna
230,Angers,Jean Ticipe
3164,Lille,Éva Sionfiscal
2318,Aix-en-Provence,Alain Broglio
1844,Reims,Luc Ratif
2675,Angers,Alain Broglio
3766,Villeurbanne,Jean Ticipe
1838,Limoges,Luc Ratif
1739,Angers,Luc Ratif
1832,Limoges,Jean Ticipe
2978,Saint-Étienne,Luc Ratif
4543,Rennes,Éva Sionfiscal
169,Nice,Éva Sionfiscal
3188,Saint-Étienne,Éva Sionfiscal
877,Le Havre,Jean Ticipe
1309,Rennes,Jean Ticipe
583,Lyon,Jean Némarre
4184,Nîmes,Alain Broglio
1402,Villeurbanne,Jean Némarre
448,Reims,Alain Broglio
162,Marseille,Alain Broglio
2607,Dijon,Alain Broglio
2404,Reims,Alain Broglio
4825,Nantes,Luc Ratif
2503,Villeurbanne,Luc Ratif
439,Nîmes,Marie Rouanna
709,Saint-Étienne,Jean Ticipe
4276,Marseille,Jean Ticipe
442,Rennes,Marie Rouanna
4160,Clermont-Ferrand,Jean Némarre
2075,Grenoble,Marie Rouanna
599,Nice,Jean Némarre
2122,Montpellier,Luc Ratif
433,Aix-en-Provence,Jean Ticipe
2998,Dijon,Jean Ticipe
3390,Nice,Éva Sionfiscal
574,Lille,Jean Ticipe
4853,Lille,Alain Broglio
2293,Toulon,Luc Ratif
1313,Saint-Étienne,Marie Rouanna
1612,Brest,Alain Broglio
1923,Rennes,Éva Sionfiscal
2607,Villeurbanne,Marie Rouanna
1179,Tours,Alain Broglio
2884,Nice,Alain Broglio
570,Angers,Jean Némarre
2549,Strasbourg,Jean Ticipe
2841,Angers,Éva Sionfiscal
2782,Tours,Marie Rouanna
1157,Aix-en-Provence,Luc Ratif
106,Grenoble,Alain Broglio
4197,Saint-Étienne,Jean Ticipe
4625,Clermont-Ferrand,Alain Broglio
2918,Marseille,Luc Ratif
2548,Paris,Éva Sionfiscal
399,Nantes,Éva Sionfiscal
4541,Paris,Luc Ratif
677,Aix-en-Provence,Alain Broglio
2633,Limoges,Jean Ticipe
3746,Montpellier,Marie Rouanna
4519,Limoges,Marie Rouanna
181,Nîmes,Luc Ratif
2735,Saint-Étienne,Alain Broglio
813,Bordeaux,Marie Rouanna
1531,Montpellier,Éva Sionfiscal
1948,Montpellier,Jean Némarre
4624,Marseille,Jean Némarre
1790,Tours,Marie Rouanna
3727,Lyon,Jean Némarre
1560,Nice,Luc Ratif
4088,Toulon,Marie Rouanna
1741,Limoges,Jean Némarre
2766,Dijon,Alain Broglio
1384,Montpellier,Marie Rouanna
1415,Nantes,Luc Ratif
1262,Montpellier,Luc Ratif
4903,Strasbourg,Alain Broglio
3956,Limoges,Marie Rouanna
1748,Montpellier,Éva Sionfiscal
1038,Lille,Éva Sionfiscal
3712,Toulouse,Jean Némarre
3577,Bordeaux,Jean Ticipe
